# grid interval is 1 mm. R Z Br Bz
# The region of validity is -40<=Z<=40 and 0<=R<=40
param normB=1.0 current=1.0
cylinder Z0=0.0 nR=300 nZ=300 dR=10 dZ=10
extendZ flip=Br
data
0 0   0.00000 4.97885
0 10  0.00000 4.97871
0 20  0.00000 4.97774
0 30  0.00000 4.97306
0 40  0.00000 4.96041
0 50  0.00000 4.93475
0 60  0.00000 4.89114
0 70  0.00000 4.82547
0 80  0.00000 4.73512
0 90  0.00000 4.61929
0 100  0.00000 4.47899
0 110  0.00000 4.31675
0 120  0.00000 4.13619
0 130  0.00000 3.94154
0 140  0.00000 3.73716
0 150  0.00000 3.52726
0 160  0.00000 3.31568
0 170  0.00000 3.10572
0 180  0.00000 2.90014
0 190  0.00000 2.70112
0 200  0.00000 2.51034
0 210  0.00000 2.32896
0 220  0.00000 2.15776
0 230  0.00000 1.99713
0 240  0.00000 1.84719
0 250  0.00000 1.70783
0 260  0.00000 1.57875
0 270  0.00000 1.45954
0 280  0.00000 1.34969
0 290  0.00000 1.24866
0 300  0.00000 1.15585
0 310  0.00000 1.07068
0 320  0.00000 0.99258
0 330  0.00000 0.92097
0 340  0.00000 0.85532
0 350  0.00000 0.79514
0 360  0.00000 0.73994
0 370  0.00000 0.68930
0 380  0.00000 0.64281
0 390  0.00000 0.60010
0 400  0.00000 0.56083
0 410  0.00000 0.52470
0 420  0.00000 0.49143
0 430  0.00000 0.46075
0 440  0.00000 0.43245
0 450  0.00000 0.40631
0 460  0.00000 0.38215
0 470  0.00000 0.35978
0 480  0.00000 0.33906
0 490  0.00000 0.31984
0 500  0.00000 0.30199
0 510  0.00000 0.28541
0 520  0.00000 0.26999
0 530  0.00000 0.25562
0 540  0.00000 0.24223
0 550  0.00000 0.22974
0 560  0.00000 0.21807
0 570  0.00000 0.20716
0 580  0.00000 0.19695
0 590  0.00000 0.18738
0 600  0.00000 0.17842
0 610  0.00000 0.17001
0 620  0.00000 0.16211
0 630  0.00000 0.15468
0 640  0.00000 0.14770
0 650  0.00000 0.14112
0 660  0.00000 0.13492
0 670  0.00000 0.12908
0 680  0.00000 0.12356
0 690  0.00000 0.11835
0 700  0.00000 0.11343
0 710  0.00000 0.10877
0 720  0.00000 0.10436
0 730  0.00000 0.10018
0 740  0.00000 0.09623
0 750  0.00000 0.09247
0 760  0.00000 0.08891
0 770  0.00000 0.08553
0 780  0.00000 0.08231
0 790  0.00000 0.07925
0 800  0.00000 0.07635
0 810  0.00000 0.07358
0 820  0.00000 0.07094
0 830  0.00000 0.06843
0 840  0.00000 0.06603
0 850  0.00000 0.06374
0 860  0.00000 0.06156
0 870  0.00000 0.05947
0 880  0.00000 0.05748
0 890  0.00000 0.05558
0 900  0.00000 0.05375
0 910  0.00000 0.05201
0 920  0.00000 0.05034
0 930  0.00000 0.04874
0 940  0.00000 0.04721
0 950  0.00000 0.04574
0 960  0.00000 0.04433
0 970  0.00000 0.04298
0 980  0.00000 0.04169
0 990  0.00000 0.04044
0 1000  0.00000 0.03924
0 1010  0.00000 0.03809
0 1020  0.00000 0.03699
0 1030  0.00000 0.03592
0 1040  0.00000 0.03490
0 1050  0.00000 0.03391
0 1060  0.00000 0.03297
0 1070  0.00000 0.03205
0 1080  0.00000 0.03117
0 1090  0.00000 0.03033
0 1100  0.00000 0.02951
0 1110  0.00000 0.02872
0 1120  0.00000 0.02796
0 1130  0.00000 0.02722
0 1140  0.00000 0.02652
0 1150  0.00000 0.02583
0 1160  0.00000 0.02517
0 1170  0.00000 0.02453
0 1180  0.00000 0.02391
0 1190  0.00000 0.02332
0 1200  0.00000 0.02274
0 1210  0.00000 0.02218
0 1220  0.00000 0.02164
0 1230  0.00000 0.02112
0 1240  0.00000 0.02061
0 1250  0.00000 0.02012
0 1260  0.00000 0.01965
0 1270  0.00000 0.01919
0 1280  0.00000 0.01874
0 1290  0.00000 0.01831
0 1300  0.00000 0.01789
0 1310  0.00000 0.01748
0 1320  0.00000 0.01709
0 1330  0.00000 0.01671
0 1340  0.00000 0.01634
0 1350  0.00000 0.01598
0 1360  0.00000 0.01563
0 1370  0.00000 0.01529
0 1380  0.00000 0.01496
0 1390  0.00000 0.01464
0 1400  0.00000 0.01433
0 1410  0.00000 0.01402
0 1420  0.00000 0.01373
0 1430  0.00000 0.01344
0 1440  0.00000 0.01317
0 1450  0.00000 0.01290
0 1460  0.00000 0.01263
0 1470  0.00000 0.01238
0 1480  0.00000 0.01213
0 1490  0.00000 0.01189
0 1500  0.00000 0.01165
0 1510  0.00000 0.01142
0 1520  0.00000 0.01120
0 1530  0.00000 0.01098
0 1540  0.00000 0.01077
0 1550  0.00000 0.01056
0 1560  0.00000 0.01036
0 1570  0.00000 0.01016
0 1580  0.00000 0.00997
0 1590  0.00000 0.00978
0 1600  0.00000 0.00960
0 1610  0.00000 0.00942
0 1620  0.00000 0.00925
0 1630  0.00000 0.00908
0 1640  0.00000 0.00891
0 1650  0.00000 0.00875
0 1660  0.00000 0.00860
0 1670  0.00000 0.00844
0 1680  0.00000 0.00829
0 1690  0.00000 0.00815
0 1700  0.00000 0.00800
0 1710  0.00000 0.00786
0 1720  0.00000 0.00773
0 1730  0.00000 0.00759
0 1740  0.00000 0.00746
0 1750  0.00000 0.00734
0 1760  0.00000 0.00721
0 1770  0.00000 0.00709
0 1780  0.00000 0.00697
0 1790  0.00000 0.00686
0 1800  0.00000 0.00674
0 1810  0.00000 0.00663
0 1820  0.00000 0.00652
0 1830  0.00000 0.00642
0 1840  0.00000 0.00631
0 1850  0.00000 0.00621
0 1860  0.00000 0.00611
0 1870  0.00000 0.00601
0 1880  0.00000 0.00592
0 1890  0.00000 0.00582
0 1900  0.00000 0.00573
0 1910  0.00000 0.00564
0 1920  0.00000 0.00556
0 1930  0.00000 0.00547
0 1940  0.00000 0.00539
0 1950  0.00000 0.00530
0 1960  0.00000 0.00522
0 1970  0.00000 0.00514
0 1980  0.00000 0.00507
0 1990  0.00000 0.00499
0 2000  0.00000 0.00492
0 2010  0.00000 0.00484
0 2020  0.00000 0.00477
0 2030  0.00000 0.00470
0 2040  0.00000 0.00463
0 2050  0.00000 0.00456
0 2060  0.00000 0.00450
0 2070  0.00000 0.00443
0 2080  0.00000 0.00437
0 2090  0.00000 0.00431
0 2100  0.00000 0.00425
0 2110  0.00000 0.00419
0 2120  0.00000 0.00413
0 2130  0.00000 0.00407
0 2140  0.00000 0.00401
0 2150  0.00000 0.00396
0 2160  0.00000 0.00390
0 2170  0.00000 0.00385
0 2180  0.00000 0.00380
0 2190  0.00000 0.00374
0 2200  0.00000 0.00369
0 2210  0.00000 0.00364
0 2220  0.00000 0.00359
0 2230  0.00000 0.00355
0 2240  0.00000 0.00350
0 2250  0.00000 0.00345
0 2260  0.00000 0.00341
0 2270  0.00000 0.00336
0 2280  0.00000 0.00332
0 2290  0.00000 0.00327
0 2300  0.00000 0.00323
0 2310  0.00000 0.00319
0 2320  0.00000 0.00315
0 2330  0.00000 0.00311
0 2340  0.00000 0.00307
0 2350  0.00000 0.00303
0 2360  0.00000 0.00299
0 2370  0.00000 0.00295
0 2380  0.00000 0.00292
0 2390  0.00000 0.00288
0 2400  0.00000 0.00284
0 2410  0.00000 0.00281
0 2420  0.00000 0.00277
0 2430  0.00000 0.00274
0 2440  0.00000 0.00271
0 2450  0.00000 0.00267
0 2460  0.00000 0.00264
0 2470  0.00000 0.00261
0 2480  0.00000 0.00258
0 2490  0.00000 0.00255
0 2500  0.00000 0.00252
0 2510  0.00000 0.00249
0 2520  0.00000 0.00246
0 2530  0.00000 0.00243
0 2540  0.00000 0.00240
0 2550  0.00000 0.00237
0 2560  0.00000 0.00234
0 2570  0.00000 0.00232
0 2580  0.00000 0.00229
0 2590  0.00000 0.00226
0 2600  0.00000 0.00224
0 2610  0.00000 0.00221
0 2620  0.00000 0.00219
0 2630  0.00000 0.00216
0 2640  0.00000 0.00214
0 2650  0.00000 0.00211
0 2660  0.00000 0.00209
0 2670  0.00000 0.00207
0 2680  0.00000 0.00204
0 2690  0.00000 0.00202
0 2700  0.00000 0.00200
0 2710  0.00000 0.00198
